pairs: 16 {'EXACT/EXACT': 14, 'NOT_FOUND/EXACT': 1, 'EXACT/FAR': 1}
  D01 DUPLICADO A=test_0ab2_grace.py:157 [test_n3_stranger_wins_after_grace] EXACT | B=test_bug046_lease_queue_liveness.py:195 [test_stranger_grants_after_spec_grace_window] EXACT | Tras TTL+gracia un extraño puede adquirir el lease | keep=nada
  D02 CASI      A=test_0ab2_r9.py:163 [test_grace_expires_exactly_at_until] EXACT | B=test_0ab2_grace.py:157 [test_n3_stranger_wins_after_grace] EXACT | Expiración de gracia: justo en TTL+G vs algo después | keep=0ab2_r9 cubre el límite exacto TTL+G
  D03 CASI      A=test_session_coordination.py:426 [test_lease_boundaries_are_independent_at_119_120_and_121] EXACT | B=test_0ab2_grace.py:147 [test_n2_authorize_at_ttl_is_lease_expired] EXACT | Autorizar a TTL/caducidad devuelve lease_expired | keep=0ab2_grace añade heartbeat !=200 a TTL; base cubre 119/120/1
  D04 CASI      A=test_task7_rereview_regressions.py:300 [test_concurrent_fifo_grant_cannot_pop_or_overwrite_a_granted_ticket] EXACT | B=test_task7_final_authority_regressions.py:1282 [test_concurrent_initial_grant_has_one_allowed_event_matching_active] EXACT | Grant inicial concurrente deja un solo lease/auditoría permitido | keep=rereview deja 202 en cola; final valida un evento permitido 
  D05 CASI      A=test_task7_rereview_regressions.py:347 [test_concurrent_fifo_grant_cannot_pop_or_overwrite_a_granted_ticket] NOT_FOUND | B=test_task7_final_authority_regressions.py:1324 [test_concurrent_fifo_grant_has_one_allowed_event_matching_active] EXACT | Grant FIFO concurrente tiene un solo evento permitido/coherente | keep=rereview deja cola vacía; final deja un 202 y valida granted
  D06 CASI      A=test_bug046_lease_queue_liveness.py:695 [test_v20_stalled_release_audit_keeps_fence_until_late_success_then_live_wait_claims] EXACT | B=test_task7_final_authority_regressions.py:1421 [test_late_release_audit_cannot_physically_follow_next_grant] EXACT | Auditoría de release bloqueada mantiene FIFO y no otorga antes del terminal | keep=bug046 valida fence de release; final valida orden finished/
  D07 CASI      A=test_bug046_lease_queue_liveness.py:439 [test_v5_prepared_audit_false_or_exception_keeps_exact_head_without_token] EXACT | B=test_task7_final_authority_regressions.py:528 [test_wait_response_stays_queued_if_grant_requeues_during_callback] EXACT | Fallo de auditoría en grant deja 503 y no publica autoridad | keep=bug046 cubre fallo en session_grant_prepared; final cubre se
  D08 CASI      A=test_session_coordination.py:1018 [test_failed_grant_leaves_ticket_queued_and_owner_invalidated] EXACT | B=test_bug046_lease_queue_liveness.py:520 [test_v5b_commit_failure_or_uncertain_append_is_compensated_without_hidden_active] EXACT | Grant fallido deja ticket en cola sin owner y 503 audit_failed | keep=base valida posición y cleanup_degraded vacío; bug046 valida
  D09 CASI      A=test_task7_final_authority_regressions.py:64 [test_stuck_release_audit_bounds_direct_followup_grant] EXACT | B=test_task7_final_authority_regressions.py:227 [test_stuck_release_audit_cannot_pin_handoff_or_followup_calls] EXACT | Release audit bloqueado mantiene FIFO y no deja active/granting | keep=193 cubre status sin degraded; 33 cubre no releasing/grantin
  D10 CASI      A=test_0ab2_r9.py:367 [test_same_session_id_different_pid_is_identity_mismatch] EXACT | B=test_session_coordination.py:469 [test_ticket_and_token_are_bound_to_full_identity] EXACT | Colisión de identity con mismo session_id da identity_mismatch | keep=0ab2_r9 usa spoof a mitad de gracia; base usa colisión con i
  D11 CASI      A=test_session_acquire_wait.py:48 [test_cancel_before_late_enqueue_installs_tombstone_first] EXACT | B=test_session_http.py:411 [test_cancel_operation_before_enqueue_blocks_late_request] EXACT | Cancelación antes de enqueue tardío instala tombstone y bloquea late request | keep=HTTP cubre ruta, status y cuenta de tombstones visibles
  D12 CASI      A=test_session_handoff.py:259 [test_the_next_worker_keeps_the_lease_and_the_lease_id] EXACT | B=test_reload_lease_recovery.py:128 [test_live_inherited_lease_is_preserved_and_still_authorized] EXACT | Token portado por carrier sigue autorizando lease heredado | keep=reload cubra ClientRuntime/env carrier/reconcile
  D13 CASI      A=test_session_coordination.py:990 [test_release_and_expiry_invalidate_even_when_audit_fails] EXACT | B=test_bug046_lease_queue_liveness.py:736 [test_v20_failed_release_terminal_audit_remains_visible_and_blocks_live_wait] EXACT | Release con auditoría terminal fallida degrada y mantiene coherencia FIFO | keep=bug046 añade handoff_pending y bloqueo de live wait
  D14 CASI      A=test_0ab2_r9.py:155 [test_third_identity_is_queued_during_grace] EXACT | B=test_0ab2_grace.py:169 [test_grace_status_shape_during_window] FAR | Extraños se encolan durante gracia | keep=0ab2_r9 valida b y c; 0ab2_grace 163 cubre a/b
  D15 CASI      A=test_0ab2_grace.py:92 [test_p1w_enqueue_wait_promotes_former] EXACT | B=test_0ab2_grace.py:166 [test_grace_status_shape_during_window] EXACT | Ventana de gracia con former/back vs shape de grace | keep=92 cubre enqueue/wait former; 162 cubre grace status
  D16 CASI      A=test_0ab2_r9.py:202 [test_probe_sees_running_before_cleanup_mutates_idle] EXACT | B=test_0ab2_grace.py:226 [test_owned_running_is_not_a_takeover_target] EXACT | Lease activo no es takeover target si owner coincide | keep=0ab2_r9 cubre coordinator/box cleanup; 201 cubre takeover he
