TEST CENSUS (git HEAD 57269d21ab23cef3a4c5e50919890529ea70fff4): one row per tools/tests/*.py file.
columns: path | loc | tests=number of test methods | added=date|subject of the commit that added the file | commits touching it | pkg=dayz_mcp modules imported | imports_tests=other test modules imported | classes | popen=uses subprocess.Popen, sleeps=count of sleep calls | doc=module docstring first line
tools/tests/__init__.py | loc=2 | tests=0 | added=2026-08-16|Initial public release | commits=1 | pkg=- | imports_tests=- | classes= | popen=0 sleeps=0 | doc=
tools/tests/_addon_paths.py | loc=35 | tests=0 | added=2026-08-16|Initial public release | commits=2 | pkg=- | imports_tests=- | classes= | popen=0 sleeps=0 | doc=Resolve the Enforce addon root, which ships inside this repository.
tools/tests/_bundle_paths.py | loc=46 | tests=0 | added=2026-08-16|Initial public release | commits=2 | pkg=- | imports_tests=- | classes= | popen=0 sleeps=0 | doc=Guards for tests that need a launcher a fresh clone will not have.
tools/tests/_client_dumps_mcp_process.py | loc=167 | tests=0 | added=2026-09-25|fix(diag): bind client dumps in the daemon, keyed by run and profile (296b r3 B1) | commits=2 | pkg=client_steam_bootstrap,dayz_test_tool,server | imports_tests=- | classes=_HttpRuntime,_PausedAfterFirstGet | popen=0 sleeps=0 | doc=One MCP process for the 296b r3 cross-process tests (not a test module).
tools/tests/_settlement_flake_probe.py | loc=43 | tests=0 | added=2026-09-07|two instruments that can now go red (fichas 30c1, 3636) | commits=1 | pkg=- | imports_tests=- | classes= | popen=0 sleeps=0 | doc=Load loop for FailedLaunchSettlementTest. Not itself a unittest.
tools/tests/_tree_identity.py | loc=181 | tests=0 | added=2026-09-07|a test module stops accrediting a tree it never measured (ficha 0ddd) | commits=1 | pkg=- | imports_tests=- | classes=TreeIdentityError,PinnedDayzMcpFinder | popen=0 sleeps=0 | doc=Compare the checkout a test was loaded from with the one a child imported.
tools/tests/fence_helpers.py | loc=185 | tests=0 | added=2026-08-20|Close the instance-fencing gate, and the three coordinator holes | commits=2 | pkg=process_lifecycle | imports_tests=- | classes= | popen=0 sleeps=0 | doc=Helpers so existing tests can enqueue mutations under instance fencing.
tools/tests/fixtures/dayz_mcp/sitecustomize.py | loc=188 | tests=0 | added=2026-08-16|Initial public release | commits=2 | pkg=daemon,identity_migration,native_process_guard | imports_tests=- | classes= | popen=0 sleeps=1 | doc=
tools/tests/steam_helpers.py | loc=32 | tests=0 | added=2026-09-10|fix: admit and supervise Steam preparation before client launch | commits=1 | pkg=steam_launch_guard | imports_tests=- | classes=FakeSteamGate | popen=0 sleeps=0 | doc=Explicit host isolation for lifecycle tests unrelated to Steam readiness.
tools/tests/test_000_path.py | loc=10 | tests=0 | added=2026-08-16|Initial public release | commits=1 | pkg=- | imports_tests=- | classes= | popen=0 sleeps=0 | doc=
tools/tests/test_0ab2_grace.py | loc=375 | tests=17 | added=2026-09-12|fix(mcp): 0ab2 lease grace S1 and takeover_required | commits=1 | pkg=process_lifecycle,server,session_coordination | imports_tests=test_client_mode,test_mcp_tools,test_session_coordination | classes=GraceS1Tests,TakeoverBTests,DayzTestRunTakeoverTests | popen=0 sleeps=0 | doc=fb-20260909-213002-0ab2: lease grace S1 + takeover_required.
tools/tests/test_0ab2_r9.py | loc=647 | tests=20 | added=2026-09-12|test(mcp): W7a R9 offline proofs for 0ab2 grace and takeover | commits=2 | pkg=process_lifecycle,runtime_state,server,session_coordination | imports_tests=test_client_mode,test_mcp_tools,test_process_lifecycle,test_session_coordination | classes=_AttachedRun,_DaemonShapedBox,StateMachineR9Tests,RaceR9Tests,IdentityR9Tests,DataLossR9Tests | popen=0 sleeps=1 | doc=W7a DZ-R9 offline for 0ab2 (state-machine, race, identity, data-loss).
tools/tests/test_546d_dump.py | loc=325 | tests=14 | added=2026-09-12|fix(mcp): add vehicle_trace mode=dump JSONL persist | commits=3 | pkg=loopback,server,vehicle_trace | imports_tests=test_vehicle_trace,test_vehicle_trace_contract | classes=DumpRequestTests,DumpJsonlTests,DumpBridgeResultTests,DumpToolOnceTests,DumpSourceContractTests | popen=0 sleeps=0 | doc=fb-20260909-190200-546d: vehicle_trace mode=dump JSONL.
tools/tests/test_a429_overlay.py | loc=375 | tests=11 | added=2026-09-12|fix(mcp): scope a429 status remediations and idle-run adopt | commits=3 | pkg=daemon,dayz_test_tool,server | imports_tests=test_client_mode,test_mcp_tools,test_session_status_blocked_on | classes=A429ClientOverlayTest,A429EmbeddedOverlayTest | popen=0 sleeps=1 | doc=fb-20260910-043740-a429: diagnostic overlay on status tools.
tools/tests/test_accredited_daemon_transport.py | loc=333 | tests=5 | added=2026-08-16|Initial public release | commits=1 | pkg=native_process_guard | imports_tests=- | classes=_FakeSocket,_FakeResponse,_FakeConnection,AccreditedDaemonTransportTests | popen=0 sleeps=0 | doc=
tools/tests/test_action_use.py | loc=90 | tests=3 | added=2026-08-28|Repair the client poll, and finish the v9 bump the version pins missed | commits=2 | pkg=loopback,server,session_coordination | imports_tests=- | classes=ActionUseIngressTest,ActionUseHeldItemContractTest,ActionUseAppToolTest | popen=0 sleeps=0 | doc=
tools/tests/test_addon_tree_has_no_write_artifacts.py | loc=147 | tests=5 | added=2026-08-21|Stop assuming where DayZ Tools live, and gate the things that were only true today | commits=1 | pkg=- | imports_tests=- | classes=WriteArtifactCriterionTest,AddonTreeHasNoWriteArtifactsTest | popen=0 sleeps=0 | doc=Fail if the Enforce addon tree still holds write-artifact backups.
tools/tests/test_admin_cli.py | loc=639 | tests=7 | added=2026-08-16|Initial public release | commits=1 | pkg=admin_cli,daemon_policy,doctor,lifecycle_cli | imports_tests=- | classes=AuxiliaryVerifiedHttpRoutingTest,ExplicitDaemonPolicyRoutingTest | popen=0 sleeps=0 | doc=
tools/tests/test_authority_invariants_are_gated.py | loc=146 | tests=6 | added=2026-08-21|Close phase 0: pin the boundaries, publish the bridge, drop the author's paths | commits=1 | pkg=session_coordination | imports_tests=test_session_coordination | classes=AuthorityInvariantsAreGatedTest | popen=0 sleeps=0 | doc=Two authority checks that nothing was defending.
tools/tests/test_b2_2edd_dae1.py | loc=93 | tests=5 | added=2026-09-11|﻿fix(mcp): 2edd-2 stop kill disclosure + dae1-3 client stop artifacts | commits=2 | pkg=dayz_test_request,dayz_test_tool,server | imports_tests=- | classes=StopArtifactsDae13Test,StopDocs2edd2Test | popen=0 sleeps=0 | doc=Offline guards for B2 cards 2edd-2 and dae1-3.
tools/tests/test_b3_4b_camera_contract.py | loc=104 | tests=6 | added=2026-09-11|fix(camera): distinguish liberated vs illegible camera_get (B3 #4b) | commits=2 | pkg=camera_restore | imports_tests=- | classes=CameraGetViewContractTest,CameraGetRecipeTest,CaptureFocusBanTest | popen=0 sleeps=0 | doc=Focal offline gates for B3 #4b camera (decision 6 + paired fichas).
tools/tests/test_b3_5872_seated_camera.py | loc=258 | tests=12 | added=2026-09-11|fix(camera): seated apply/observe branch before vehicle reject (5872) | commits=2 | pkg=camera_restore | imports_tests=test_camera_native_crash | classes=SeatedPresenceSourceTest,SeatedApplyObserveSourceTest,SeatedRestoreObserveTest,SeatedPresenceCaseTableTest | popen=0 sleeps=0 | doc=Offline gates for B3 5872 seated apply/observe (Sol APROBAR_CONTRATO).
tools/tests/test_bad_args_messages.py | loc=220 | tests=7 | added=2026-08-23|Make every bad_args name its field, and every unit its scale | commits=1 | pkg=control_client,server | imports_tests=- | classes=BadArgsMessagesTest,ToolDescriptionUnitsTest,RetailQuarantineReasonTest | popen=0 sleeps=0 | doc=Caller-facing argument errors and numeric tool descriptions stay actionable.
tools/tests/test_batch6.py | loc=183 | tests=13 | added=2026-08-17|Adopt the 17/08 batch: action_use + pos_real gated in-game, junior-agent surface, recoverable box,  | commits=4 | pkg=core,loopback,server | imports_tests=- | classes=Batch6Test | popen=0 sleeps=0 | doc=
tools/tests/test_bootstrap_parent.py | loc=116 | tests=3 | added=2026-08-16|Initial public release | commits=1 | pkg=- | imports_tests=- | classes=BootstrapParentAccreditationTests | popen=0 sleeps=0 | doc=
